grantee,url,Date Awarded,Period,Amount,Focus Area,Challenge,Goal,Project Team
New Profit Inc.,https://knightfoundation.org/grants/4038,,09/01/2006 - 09/01/2009,"$ 850,000.00",Communities,,"To foster transformative social change through extended support of the Gathering of Leaders annual conference of social entrepreneurs

	Over the next three years, this grant will help underwrite the annual Gathering of Leaders national conference of visionary leaders and social entrepreneurs. The 2007 conference will be held in Mohonk, N.Y., the location of the first two Gatherings. In 2008, the conference will be held in Miami. In 2009, the conference will be held again in Miami, or another Knight community, by mutual agreement. The Knight-New Profit relationship through the Gathering supports the foundation's commitment to transformative social change in communities.",New Profit Inc.
Habitat for Humanity of Broward,https://knightfoundation.org/grants/4006,,08/01/2006 - 08/01/2007,"$ 10,000.00",Communities,,For the 2006 Spirit of Humanities Award and Speed Build,Habitat for Humanity of Broward
Musical Arts Association: Cleveland Orchestra Miami Residency,https://knightfoundation.org/grants/4013,,08/01/2006 - 08/01/2010,"$ 104,552.00","Communities, Arts",,To establish a Miami office for the Cleveland Orchestra,Musical Arts Association
Salzburg Seminar in American Studies: Knight Fellowship Program,https://knightfoundation.org/grants/3982,,08/01/2006 - 08/01/2007,"$ 135,000.00","Technology, Journalism",,"For a conference and a plan to redesign the Knight Fellowship Program

	 

	Salzburg Seminar will convene some 75 former Knight Fellows at a conference at the Museum of Television and Radio in New York. The conference will allow the fellows to continue the learning from previous Salzburg events and discuss how to improve the Knight Fellowship program. Salzburg will then develop an action plan that will clarify program improvements in future years.",Salzburg Seminar in American Studies Inc.
Merce in Miami,https://knightfoundation.org/grants/3971,,08/01/2006 - 08/01/2007,"$ 250,000.00",Arts,,"To support the 'Merce in Miami,"" spring 2007

	For two weeks in early spring 2007, the Miami Performing Arts Center will present the work of dance icon Merce Cunningham in collaboration with a number of cultural arts organizations in Miami, collectively titled the Merce Cunningham Retrospective. As part of this 50-year retrospective, the center will present three major works from the Merce Cunningham Dance Company repertoire: Split Sides, Views on Stage and Ocean. Workshops with company members, offered in partnership with Florida Dance Alliance, will provide professional dancers, dance students and interested members of the public the opportunity to explore the vision and genius of Merce Cunningham. Other collaborators and participants include the New World School of the Arts, The Miami Museum of Contemporary Art and Miami Museum of Art.","Performing Arts Center Trust, Inc."
Akron Public Schools : ExEL,https://knightfoundation.org/grants/3980,,08/01/2006 - 08/01/2011,"$ 203,000.00",Communities,,For the Akron Public Schools to participate in the Harvard University Educators' Executive Leadership Initiative (ExEL) supported by the Wallace Foundation,Akron Public Schools
Central Carolina Community Foundation,https://knightfoundation.org/grants/4003,,08/01/2006 - 08/01/2007,"$ 30,000.00",Communities,,To launch and support Yes We Can public relations campaign to galvanize the Midlands community to implement the regional 10-year Blueprint to Address Homelessness,Central Carolina Community Foundation
Museum of Contemporary Art,https://knightfoundation.org/grants/4009,,08/01/2006 - 08/01/2007,"$ 115,000.00","Communities, Arts",,For the Merce Cunningham: Dancing on the Cutting Edge Exhibition,Museum of Contemporary Art
Florida Public Broadcasting Service,https://knightfoundation.org/grants/4002,,07/01/2006 - 07/01/2007,"$ 51,000.00",Communities,,To underwrite NPR's Morning Edition and All Things Considered in Knight Communities,Florida Public Broadcasting Service
"University of California, Berkeley",https://knightfoundation.org/grants/3978,,07/01/2006 - 07/01/2007,"$ 50,000.00","Technology, Journalism",,"To teach journalism's core values to citizen contributors

	 

	Citizen journalism advocate Dan Gillmor will direct the creation of five online training modules that discuss journalism’s core values: 1) thoroughness, 2) accuracy, 3) fairness, 4) transparency and 5) independence. The modules are designed to increase the quality of citizen contributions to online discussions or news reports. The modules are planned to help make editors feel more comfortable with the quality of citizen contributions, causing those editors to use citizen contributions more often. This project is part of the Knight Citizen News Network.","University of California, Berkeley"
Participatory Culture Foundation: Make Internet TV,https://knightfoundation.org/grants/3992,,07/01/2006 - 07/01/2007,"$ 50,000.00","Technology, Journalism",,"To teach citizens how to shoot news video, upload it to a blog and share it with others

	The Participatory Culture Foundation will create tutorials teaching how to shoot, edit and upload video to a web site. The tutorials will discuss what equipment and software to use, how to format the video for the web, how to load that video onto your own or other web sites, and how to syndicate it to others. The training modules are designed to increase the number and quality of citizen news videos online and to help more communities have video coverage of important events that would not be broadcast on local television news stations. This project is part of the Knight Citizen News Network.",Participatory Culture Foundation
